set i := l1 l2 l3 l4 l5 l6 l7 l8 l9 l10 l11 l12 l13 l14 l15 ;



param :   cost    profit:=
l1          11        6    
l2          5         12    
l3          5         10       
l4          10        5      
l5          2         11
l6          5         5
l7          12        3
l8          5         6
l9          11        5
l10         4         9
l11         7         10
l12         10        2
l13         11        3
l14         10        11
l15         3         6;

param totalcost := 32.5;
