Name,Url,Telephone,Location,Investment (1000 Euros),Ci,Cap ,Demand ,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
St Johns Priory,,3.54E+11,233,489,3,300,6,-7.248489188,52.65368264,Kilkenny,Kilkenny City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Riversdale Barge Holidays,http://www.riversdaleholidays.com/,3.54E+11,9,355,2,299,5,-7.7950084,54.0294267,Leitrim,Ballinamore,Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Killala Quay,,,97,157,3,299,12,-9.2192835,54.213245,Mayo,Killala,Ireland,Discovery Point
Carlow Town Walk - Slí na Sláinte,https://carlowtourism.com/carlow-town-walk/,3.54E+11,119,290,5,299,3,-6.9294889,52.8352498,Carlow,,Ireland,"Walking,Historic Houses and Castle,Public Park,Nature and Wildlife"
Ballybunion Lahardane Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Lahardane-Hill-Walk/608/,+353(0)667121288,275,243,3,299,10,-9.653116507,52.50812603,Kerry,Ballybunion,Republic of Ireland,"Walking,Natural Landscape"
Carrowteige - Black Ditch Loop,https://www.irishtrails.ie/Trail/Carrowteige---Black-Ditch-loop/140/ ,,537,412,4,298,7,-9.987016054,54.22138267,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
St Michan's Church,,35318724154,145,331,1,297,4,-6.275396,53.347458,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Toe Head Bay,,,227,185,3,297,5,-9.2476666,51.493251,Cork,Castletownshend,Ireland,Discovery Point
Ballyvaughan Pier,,,490,113,1,297,7,-9.153682,53.119533,Clare,Ballyvaughan,Ireland,Discovery Point
James Joyce,http://www.talkingstatuesdublin.ie/statues/james-joyce/,+353(0)16057700,16,283,1,296,10,-6.259782198,53.3499184,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue,Literary Ireland"
Muckross Friary,http://www.heritageireland.ie/en,3.54E+11,176,468,5,296,12,-9.504292,52.018083,Kerry,Killarney,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,National Park,National and Forest Park,Ruins"
St. Patricks Well - Clonmel,,3.54E+11,178,336,1,296,7,-7.761667,52.362071,Tipperary,Clonmel,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Geological Museum,https://trinitygeologicalmuseum.com/,+353(0)18961477,417,373,5,296,3,-6.261219,53.344479,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Historic Houses and Castle,Museums and Attraction"
Whitefriar Street Church,http://www.carmelites.ie,+353(0)14758821,50,210,5,295,9,-6.266452,53.339835,Dublin,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Food Shops,Shopping"
Tombrick Garden,https://www.discoverireland.ie/Arts-Culture-Heritage/tombrick-garden/76568,3.54E+11,356,230,3,295,4,-6.569058713,52.5809255,Wexford,Ballycarney,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Master McGrath Monument,https://www.buildingsofireland.ie/buildings-search/building/22903003/master-mcgrath-monument-ballymacmague-south-county-waterford,3535841741,434,113,3,295,10,-7.621652,52.088003,Waterford,Dungarvan,Republic of Ireland,"Historic Houses and Castle,Public Sculpture"
Mountcharles Pier,,,530,260,2,295,10,-8.2061166,54.630369,Donegal,Mountcharles,Ireland,Discovery Point
Findlater Church,,+353(0)18378600,25,469,5,294,6,-6.263976,53.35462,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
University College Cork -UCC,http://www.ucc.ie/en/discover,3.53E+11,245,322,1,294,7,-8.492377,51.89182,Cork,Cork City,Republic of Ireland,"Restaurant,Historic Houses and Castle,Cafe,Food and Drink"
Genealogy Service National Library of Ireland,https://www.nli.ie/en/intro/family-history-introduction.aspx,35316030200,333,221,4,294,11,-6.25509,53.340139,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping"
Cappagh Pier,,,114,220,2,293,6,-9.498637,52.628546,Clare,Kilrush,Ireland,Discovery Point
Wild Ireland,https://www.wildireland.org,,243,247,5,293,4,-7.3386082,55.0522279,Donegal,,Republic of Ireland,"Covid Safety Charter,Visitor Farm,Tour"
Bearna Breac Loop,http://facebook.com/windgap.tidytowns,+353(0)874186077,531,160,2,292,10,-7.398690855,52.46418975,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
Athlumney Castle,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/athlumney-castle-navan,3.53E+11,22,412,2,291,10,-6.675048,53.650359,Meath,Navan,Republic of Ireland,"Castle,Historic Houses and Castle"
Arklow Beach,,,110,119,3,291,4,-6.126780942,52.81185983,Wicklow,Arklow,Ireland,Beach
George Salmon,http://www.talkingstatuesdublin.ie/statues/george-salmon/,,321,344,3,291,11,-6.25735238,53.34455452,Dublin,,Ireland,"Public Sculpture,Talking Statue,Tour"
Wolfe Tone,http://www.talkingstatuesdublin.ie/statues/wolfe-tone/,,438,467,1,290,7,-6.255943265,53.33839461,Dublin,,Ireland,"Public Sculpture,Talking Statue"
William Smith O'Brien Monument,http://www.visitdublin.com,+353(0)16057700,124,153,1,289,10,-6.259341,53.348576,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Ballymoon Castle,http://carlowtourism.com/ballymoon-castle-2,,156,178,2,289,6,-6.9062967,52.700405,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
